itr	module_id	selected_gene	most_covered	least_covers	avg_covered	benefit	cost
70	47	CDH1	0	18	10	160	1.000000
71	47	CYB561	0	18	10	46	0.242219
72	2	AKT1	0	18	10	82	0.532560
73	48	LAMA1	0	18	10	151	1.000000
74	0	CCND1	0	18	10	114	0.774476
75	49	FAT2	0	18	11	146	1.000000
76	11	FGFR1	0	18	11	90	0.636197
77	40	DNMT1	0	18	11	76	0.537885
78	50	DNAH11	0	18	11	139	1.000000
79	15	TOX2	0	18	11	50	0.367200
80	51	CUBN	0	18	11	135	1.000000
81	52	RELN	0	18	11	133	1.000000
82	53	SPEN	0	18	11	133	1.000000
83	49	LAMA5	0	18	11	91	0.695852
84	54	FBN2	0	18	11	128	1.000000
85	54	FBN1	0	18	11	66	0.520454
86	32	TBL1XR1	0	18	11	72	0.575070
87	55	DNAH9	0	18	11	122	1.000000
88	56	BAP1	0	18	11	119	1.000000
89	13	PLAT	0	18	11	63	0.539502
90	57	COL6A3	0	18	11	114	1.000000
91	57	PPP2R1A	0	18	11	77	0.613768
92	53	DIDO1	0	18	11	72	0.637073
93	58	RUNX1	0	18	11	111	1.000000
94	58	MYH11	0	18	11	83	0.667009
95	19	CSH2	0	18	11	47	0.430907
96	59	MTOR	0	18	11	108	1.000000
97	59	EIF4EBP1	0	18	11	53	0.083430
98	60	IDH1	0	18	11	105	1.000000
99	60	IDH2	0	18	11	70	0.146117
100	61	NCOA3	0	18	11	104	1.000000
101	61	CREBBP	0	18	11	86	0.534448
102	48	HSPG2	0	18	11	75	0.723416
103	62	FMN2	0	18	11	101	1.000000
104	62	DEPTOR	0	18	11	48	0.400691
105	33	PDGFRA	0	18	11	71	0.703240
106	63	MXRA5	0	18	11	100	1.000000
107	64	LYST	0	18	11	99	1.000000
108	64	MED12	0	18	11	84	0.708985
109	65	HERC2	0	18	12	97	1.000000
110	66	ABCA13	0	18	12	93	1.000000
111	67	CHD4	0	18	12	92	1.000000
112	67	SMARCA4	0	18	12	77	0.704777
113	68	DNAH2	0	18	12	88	1.000000
114	51	MUC2	0	18	12	80	0.913221
115	69	CSMD2	0	18	12	87	1.000000
116	70	PDE4DIP	0	18	12	86	1.000000
117	71	CNTNAP2	0	18	12	86	1.000000
118	72	TG	0	18	12	84	1.000000
119	30	ANK1	0	18	12	76	0.917605
120	73	SYNE2	0	18	12	82	1.000000
121	74	TSHZ3	0	18	12	81	1.000000
122	75	DNAH10	0	18	12	80	1.000000
123	76	CTCF	0	18	12	77	1.000000
124	76	KAT6B	0	18	12	44	0.451521
125	77	TET2	0	18	12	77	1.000000
126	78	RNF213	0	18	12	76	1.000000
127	79	SDK1	0	18	12	75	1.000000
128	80	SPTB	0	18	12	75	1.000000
129	81	MAP2K4	0	18	12	74	1.000000
130	82	KDM5C	0	18	12	72	1.000000
131	83	PPFIA1	0	18	12	70	1.000000
132	84	UBR4	0	18	12	69	1.000000
133	85	PTPRT	0	18	12	69	1.000000
134	55	AKAP9	0	18	12	67	0.998029
135	86	DOCK2	0	18	12	67	1.000000
136	87	DNAH8	0	18	12	66	1.000000
137	58	CBFB	0	18	12	41	0.622764
138	88	PTCH1	0	18	12	65	1.000000
139	89	DPP10	0	18	12	64	1.000000
140	90	MYO7A	0	18	12	63	1.000000
141	90	MYO15A	0	18	12	40	0.537934
142	91	PTPRB	0	18	12	62	1.000000
143	92	TSHZ2	0	18	12	62	1.000000
144	93	PCDH15	0	18	12	60	1.000000
145	94	NAV3	0	18	12	60	1.000000
146	95	NCOR1	0	18	12	58	1.000000
147	72	SVEP1	0	18	12	49	0.852715
148	41	ARSD	0	18	12	31	0.543058
149	96	CACNA1E	0	18	12	56	1.000000
150	97	WT1	0	18	12	56	1.000000
151	97	ATRX	0	18	12	43	0.633430
152	98	CEBPA	0	18	12	56	1.000000
153	98	EP300	0	18	12	30	0.106033
154	94	ATN1	0	18	12	54	0.974385
155	99	ABCC9	0	18	12	55	1.000000
156	100	LRBA	0	18	12	55	1.000000
157	75	DYNC1H1	0	18	13	50	0.913792
158	101	SI	0	18	13	54	1.000000
159	101	PRKACA	0	18	13	20	0.114892
160	102	GRM8	0	18	13	54	1.000000
161	102	GRM6	0	18	13	39	0.539723
162	103	L1CAM	0	18	13	52	1.000000
163	103	HCFC1	0	18	13	38	0.664052
164	34	NOTCH1	0	18	13	49	0.954197
165	73	ZFHX3	0	18	13	48	0.940943
166	104	NALCN	0	18	13	51	1.000000
167	88	GLI3	0	18	13	33	0.650201
168	39	HECW1	0	18	13	43	0.876216
169	105	DSCAM	0	18	13	49	1.000000
170	105	DSCAML1	0	18	13	40	0.554526
171	106	RP1L1	0	18	13	48	1.000000
172	107	KIF2B	0	18	13	48	1.000000
173	108	USP36	0	18	13	47	1.000000
174	109	FAM47C	0	18	13	46	1.000000
175	110	PRKDC	0	18	13	45	1.000000
176	111	VPS13D	0	18	13	45	1.000000
177	112	PKD1L2	0	18	13	44	1.000000
178	113	ASXL1	0	18	13	44	1.000000
179	114	KIT	0	18	13	43	1.000000
180	114	GRB7	0	18	13	37	0.380796
181	115	DLC1	0	18	13	42	1.000000
182	116	PCDHB5	0	18	13	42	1.000000
183	117	NIPBL	0	18	13	41	1.000000
184	117	SMC1A	0	18	13	37	0.650203
185	118	CACNA1D	0	18	13	41	1.000000
186	117	RAD21	0	18	13	23	0.568426
187	119	PRUNE2	0	18	13	40	1.000000
188	120	CACNA1G	0	18	13	40	1.000000
189	121	BRCA2	0	18	13	39	1.000000
190	121	BRCA1	0	18	13	25	0.627355
191	122	COL5A3	0	18	13	39	1.000000
192	83	MYCBP2	0	18	13	36	0.923782
193	123	MAP1B	0	18	13	38	1.000000
194	124	FNIP1	0	18	13	37	1.000000
195	11	PTPN11	0	18	13	29	0.796423
196	117	SMC3	0	18	13	27	0.747016
197	125	COL12A1	0	18	13	36	1.000000
198	125	VCAN	0	18	13	35	0.944976
199	126	SRRM2	0	18	13	36	1.000000
200	126	YWHAB	0	18	13	9	0.209998
201	127	PCDH19	0	18	13	36	1.000000
202	128	COL7A1	0	18	13	35	1.000000
203	129	SHANK2	0	18	13	35	1.000000
204	130	ITGAX	0	18	13	35	1.000000
205	130	ITGB2	0	18	13	17	0.446400
206	131	MED23	0	18	13	35	1.000000
207	131	MYNN	0	18	13	16	0.370309
208	132	SCN2A	0	18	13	34	1.000000
209	133	SF3B1	0	18	13	34	1.000000
210	133	SRSF2	0	18	13	8	0.129921
211	134	CRIPAK	0	18	13	34	1.000000
212	135	LCT	0	18	13	33	1.000000
213	136	ADAM2	0	18	13	33	1.000000
214	137	LAMC1	0	18	13	33	1.000000
215	34	NOTCH2	0	18	13	28	0.872819
216	138	PRDM9	0	18	13	32	1.000000
217	139	FGF19	0	18	13	32	1.000000
218	140	PLXNA3	0	18	13	32	1.000000
219	141	GRIN2A	0	18	13	31	1.000000
220	142	FAM5C	0	18	13	31	1.000000
221	143	TBX3	0	18	13	31	1.000000
222	143	TBX2	0	18	13	11	0.067567
223	125	LRRC15	0	18	13	18	0.582497
224	139	FGF4	0	18	13	24	0.776808
225	144	ANK2	0	18	13	30	1.000000
226	145	CNTNAP5	0	18	13	30	1.000000
227	146	PPP1R3A	0	18	13	30	1.000000
228	144	UNC5A	0	18	13	17	0.580145
229	147	LAMA3	0	18	13	29	1.000000
230	148	ARHGAP35	0	18	13	29	1.000000
231	149	COL11A2	0	18	13	29	1.000000
232	150	RPL5	0	18	13	29	1.000000
233	150	RPLP0	0	18	13	9	0.202594
234	86	DOCK8	0	18	13	28	0.999375
235	151	RP1	0	18	13	28	1.000000
236	152	USP9X	0	18	13	28	1.000000
237	153	LPA	0	18	13	28	1.000000
238	154	DDX11	0	18	13	28	1.000000
239	154	RBBP6	0	18	13	21	0.702260
240	155	TRRAP	0	18	13	27	1.000000
241	155	YEATS4	0	18	13	11	0.357029
242	156	CMYA5	0	18	13	27	1.000000
243	157	ZNF462	0	18	13	27	1.000000
244	158	SLC38A10	0	18	13	27	1.000000
245	159	MYO16	0	18	13	26	1.000000
246	160	MGA	0	18	13	26	1.000000
247	161	PEAR1	0	18	13	26	1.000000
248	71	CSPG4	0	18	13	24	0.923481
249	87	DNHD1	0	18	13	25	0.973938
250	73	GIGYF2	0	18	13	25	0.988510
251	162	CDKN2B	0	18	13	25	1.000000
252	122	COL1A2	0	18	13	18	0.724871
253	141	GRIA4	0	18	13	15	0.616087
254	123	U2AF1	0	18	13	23	0.951363
255	163	LRP1	0	18	14	24	1.000000
256	163	LILRB2	0	18	14	20	0.646812
257	164	ANK3	0	18	14	24	1.000000
258	165	AKAP13	0	18	14	24	1.000000
259	166	PCSK5	0	18	14	24	1.000000
260	38	POLR2B	0	18	14	22	0.945037
261	167	PTPRZ1	0	18	14	23	1.000000
262	168	KCNK9	0	18	14	23	1.000000
263	168	UNC93A	0	18	14	7	0.026888
264	169	SETBP1	0	18	14	23	1.000000
265	170	AIM1	0	18	14	23	1.000000
266	171	SUPT6H	0	18	14	23	1.000000
267	171	SUPT5H	0	18	14	12	0.309002
268	172	IGFN1	0	18	14	23	1.000000
269	173	MLLT4	0	18	14	23	1.000000
270	5	ITPR1	0	18	14	20	0.899184
271	68	DYNC2H1	0	18	14	21	0.945085
272	174	WDFY3	0	18	14	22	1.000000
273	175	DCHS1	0	18	14	22	1.000000
274	175	GPR124	0	18	14	13	0.567900
275	176	FAM179B	0	18	14	22	1.000000
276	177	F2	0	18	14	22	1.000000
277	177	F5	0	18	14	18	0.478049
278	164	PRRC2C	0	18	14	21	0.986874
279	178	CNTNAP4	0	18	14	21	1.000000
280	179	KCNN3	0	18	14	21	1.000000
281	180	DSPP	0	18	14	21	1.000000
282	181	BMPER	0	18	14	21	1.000000
283	139	CBL	0	18	14	10	0.485506
284	173	MYO5B	0	18	14	18	0.895194
285	162	ANKRD27	0	18	14	12	0.597290
286	182	PCNT	0	18	14	20	1.000000
287	183	ATAD5	0	18	14	20	1.000000
288	180	ORMDL3	0	18	14	8	0.411685
289	184	GPR112	0	18	14	19	1.000000
290	185	SACS	0	18	14	19	1.000000
291	186	NBEA	0	18	14	19	1.000000
292	187	KDM6A	0	18	14	19	1.000000
293	188	KCNJ12	0	18	14	19	1.000000
294	189	COL4A6	0	18	14	19	1.000000
295	190	ANPEP	0	18	14	19	1.000000
296	191	KCNA5	0	18	14	19	1.000000
297	191	ACTN2	0	18	14	9	0.302855
298	192	KDM6B	0	18	14	19	1.000000
299	193	AOC2	0	18	14	19	1.000000
300	194	CARD10	0	18	14	19	1.000000
301	195	CHD6	0	18	14	18	1.000000
302	196	CPS1	0	18	14	18	1.000000
303	197	ATP13A5	0	18	14	18	1.000000
304	198	TET1	0	18	14	18	1.000000
305	199	IGHMBP2	0	18	14	18	1.000000
306	200	PLEKHG2	0	18	14	18	1.000000
307	147	PLG	0	18	14	13	0.749937
308	190	SLC13A3	0	18	14	6	0.349241
309	201	NLRP3	0	18	14	17	1.000000
310	202	PIK3C2B	0	18	14	17	1.000000
311	203	ZNFX1	0	18	14	17	1.000000
312	204	VANGL2	0	18	14	17	1.000000
313	205	TTC17	0	18	14	17	1.000000
314	166	BTG2	0	18	14	6	0.356292
315	42	PGAP1	0	18	14	13	0.775134
316	123	U2AF2	0	18	14	9	0.541453
317	171	IWS1	0	18	14	15	0.904083
318	135	RIMS1	0	18	14	15	0.921936
319	81	MAGI2	0	18	14	16	0.998921
320	80	SPTAN1	0	18	14	12	0.749301
321	206	HERC1	0	18	14	16	1.000000
322	207	CACNA1S	0	18	14	16	1.000000
323	208	PROX1	0	18	14	16	1.000000
324	209	ATP9A	0	18	14	16	1.000000
325	210	PLXNB3	0	18	14	16	1.000000
326	211	OR10H1	0	18	14	16	1.000000
327	212	HLA-DRB1	0	18	14	16	1.000000
328	213	TCEAL3	0	18	14	16	1.000000
329	110	ILF3	0	18	14	9	0.568294
330	96	BRAF	0	18	14	12	0.760482
331	194	FGF3	0	18	14	14	0.895670
332	148	ARHGAP5	0	18	14	9	0.579781
333	214	LAMA2	0	18	14	15	1.000000
334	215	PEG3	0	18	14	15	1.000000
335	216	ADAMTS16	0	18	14	15	1.000000
336	217	DYSF	0	18	14	15	1.000000
337	218	DMXL1	0	18	14	15	1.000000
338	219	C3	0	18	14	15	1.000000
339	219	FBLN2	0	18	14	7	0.403294
340	220	RPGR	0	18	14	15	1.000000
341	220	RPGRIP1	0	18	14	7	0.428328
342	221	PTCHD1	0	18	14	15	1.000000
343	222	NLRC4	0	18	14	15	1.000000
344	223	TTC3	0	18	14	15	1.000000
345	224	HLA-A	0	18	14	15	1.000000
346	225	PLEKHH1	0	18	14	15	1.000000
347	107	VCX3B	0	18	14	12	0.806923
348	187	CYP4F12	0	18	14	13	0.896644
349	115	ALMS1	0	18	14	12	0.836110
350	75	KIF19	0	18	14	14	0.985152
351	117	STAG2	0	18	14	13	0.915269
352	188	APBA1	0	18	14	3	0.212312
353	226	CACNA1B	0	18	14	14	1.000000
354	227	ADAMTS18	0	18	14	14	1.000000
355	228	KCNA4	0	18	14	14	1.000000
356	229	MAST1	0	18	14	14	1.000000
357	230	RANBP6	0	18	14	14	1.000000
358	231	FANCA	0	18	14	14	1.000000
359	232	ZMYM2	0	18	14	14	1.000000
360	233	ACIN1	0	18	14	14	1.000000
361	234	EMR2	0	18	14	14	1.000000
362	235	MYB	0	18	14	14	1.000000
363	236	ZNF268	0	18	14	14	1.000000
364	228	DLG1	0	18	14	6	0.444159
365	208	ABL1	0	18	14	12	0.908403
366	128	THBS1	0	18	14	12	0.911487
367	237	CACNA1C	0	18	14	13	1.000000
368	238	RIMBP2	0	18	14	13	1.000000
369	239	CACNA1A	0	18	14	13	1.000000
370	240	SLIT2	0	18	14	13	1.000000
371	241	SPTBN4	0	18	14	13	1.000000
372	242	IGSF3	0	18	14	13	1.000000
373	243	SCAF11	0	18	14	13	1.000000
374	244	MEFV	0	18	14	13	1.000000
375	245	SGCZ	0	18	14	13	1.000000
376	121	ATM	0	18	14	12	0.926225
377	233	HNRNPUL1	0	18	14	7	0.556990
378	224	HLA-B	0	18	14	10	0.819397
379	246	PLXNA4	0	18	14	12	1.000000
380	247	THSD7B	0	18	14	12	1.000000
381	248	F8	0	18	14	12	1.000000
382	249	ADAMTSL3	0	18	14	12	1.000000
383	250	PCDHA6	0	18	14	12	1.000000
384	251	DOCK11	0	18	14	12	1.000000
385	252	CAMTA1	0	18	14	12	1.000000
386	253	SLC4A4	0	18	14	12	1.000000
387	254	GRIK2	0	18	14	12	1.000000
388	254	GRIK4	0	18	14	9	0.553942
389	255	KLHL4	0	18	14	12	1.000000
390	256	HCN4	0	18	14	12	1.000000
391	257	TSC22D1	0	18	14	12	1.000000
392	258	DBH	0	18	14	12	1.000000
393	258	STMN2	0	18	14	4	0.117623
394	241	PTPRN2	0	18	14	8	0.690410
395	91	APBA2	0	18	14	11	0.953367
396	102	MED24	0	18	14	10	0.892940
397	259	DNAH17	0	18	14	11	1.000000
398	260	ARID2	0	18	14	11	1.000000
399	261	ZBED4	0	18	14	11	1.000000
400	262	GNPTAB	0	18	14	11	1.000000
401	263	AP1G2	0	18	14	11	1.000000
402	264	CDH24	0	18	14	11	1.000000
403	248	VWF	0	18	14	6	0.546197
404	263	HSP90AA1	0	18	14	10	0.913495
405	239	GRIA1	0	18	14	9	0.859903
406	260	CA8	0	18	14	7	0.673141
407	212	ESR1	0	18	14	6	0.578064
408	24	KCNH7	0	18	14	9	0.868663
409	265	ZFPM2	0	18	14	10	1.000000
410	266	WNK1	0	18	14	10	1.000000
411	267	TRIM58	0	18	14	10	1.000000
412	268	NCAM2	0	18	14	10	1.000000
413	269	MKRN3	0	18	14	10	1.000000
414	269	MAGEL2	0	18	14	7	0.611993
415	270	CRISPLD1	0	18	14	10	1.000000
416	271	SEMA4A	0	18	14	10	1.000000
417	272	WSCD2	0	18	14	10	1.000000
418	273	GAPVD1	0	18	14	10	1.000000
419	274	DSG2	0	18	14	10	1.000000
420	275	PHF12	0	18	14	10	1.000000
421	276	RPH3A	0	18	14	10	1.000000
422	277	SERPINA12	0	18	14	10	1.000000
423	278	DAXX	0	18	14	10	1.000000
424	279	ATF6B	0	18	14	10	1.000000
425	95	GPS2	0	18	14	7	0.707566
426	279	BACH1	0	18	14	7	0.726242
427	165	LRRC8A	0	18	14	9	0.990165
428	280	TNR	0	18	14	9	1.000000
429	281	TECTA	0	18	14	9	1.000000
430	282	TPR	0	18	14	9	1.000000
431	283	GOLGB1	0	18	14	9	1.000000
432	284	CR1	0	18	14	9	1.000000
433	285	PLCE1	0	18	14	9	1.000000
434	286	CEP170	0	18	14	9	1.000000
435	286	CPNE3	0	18	14	7	0.609670
436	287	PLXNA1	0	18	14	9	1.000000
437	288	TRPC4	0	18	14	9	1.000000
438	289	DDR2	0	18	14	9	1.000000
439	290	TLR4	0	18	14	9	1.000000
440	291	DNM3	0	18	14	9	1.000000
441	292	DIAPH2	0	18	14	9	1.000000
442	293	PSME4	0	18	14	9	1.000000
443	294	RPGRIP1L	0	18	14	9	1.000000
444	295	CACNA2D3	0	18	14	9	1.000000
445	296	CADM2	0	18	14	9	1.000000
446	297	KCNT1	0	18	14	9	1.000000
447	298	ARHGEF1	0	18	14	9	1.000000
448	299	GRIN2D	0	18	14	9	1.000000
449	300	MKS1	0	18	14	9	1.000000
450	301	AIDA	0	18	14	9	1.000000
451	302	SEC22B	0	18	14	9	1.000000
452	302	SCFD1	0	18	14	7	0.458304
453	303	PKNOX2	0	18	14	9	1.000000
454	304	NRF1	0	18	14	9	1.000000
455	305	MEX3C	0	18	14	9	1.000000
456	306	KRTAP1-5	0	18	14	9	1.000000
457	142	C7	0	18	14	7	0.782987
458	160	MZF1	0	18	14	7	0.816494
459	282	MAPK1	0	18	14	7	0.853778
460	282	SHC1	0	18	14	6	0.670753
461	150	RPL4	0	18	14	7	0.856193
462	307	FRYL	0	18	14	8	1.000000
463	308	KRT6A	0	18	14	8	1.000000
464	309	BCAR3	0	18	14	8	1.000000
465	310	CUEDC1	0	18	14	8	1.000000
466	228	SCRIB	0	18	14	7	0.881782
467	164	TBL1X	0	18	14	3	0.382443
468	204	MAGI3	0	18	14	7	0.917998
469	288	EXOC4	0	18	14	6	0.794212
470	288	EXOC3	0	18	14	7	0.897962
471	230	CAD	0	18	14	6	0.809714
472	63	NID2	0	18	14	6	0.830804
473	232	ALOX5	0	18	14	7	0.992446
474	291	SYNPO2	0	18	14	6	0.854797
475	311	TRHDE	0	18	14	7	1.000000
476	312	MLLT3	0	18	14	7	1.000000
477	313	WDR64	0	18	14	7	1.000000
478	314	PRPF8	0	18	14	7	1.000000
479	314	LSM1	0	18	14	3	0.112933
480	315	PHF3	0	18	14	7	1.000000
481	316	COL9A1	0	18	14	7	1.000000
482	317	FASTKD3	0	18	14	7	1.000000
483	318	COL2A1	0	18	14	7	1.000000
484	319	OR14C36	0	18	14	7	1.000000
485	320	AOAH	0	18	14	7	1.000000
486	321	MAPKBP1	0	18	14	7	1.000000
487	322	FAM65A	0	18	14	7	1.000000
488	323	INO80	0	18	14	7	1.000000
489	323	ACTB	0	18	14	3	0.390680
490	324	ABCG4	0	18	14	7	1.000000
491	325	LIMA1	0	18	14	7	1.000000
492	326	UNC13D	0	18	14	7	1.000000
493	327	DMRT3	0	18	14	7	1.000000
494	328	PITPNM3	0	18	14	7	1.000000
495	329	KRT79	0	18	14	7	1.000000
496	330	FAN1	0	18	14	7	1.000000
497	331	MX1	0	18	14	7	1.000000
498	332	BCL6B	0	18	14	7	1.000000
499	333	WNT5B	0	18	14	7	1.000000
500	334	LRRD1	0	18	14	7	1.000000
501	335	LPAL2	0	18	14	7	1.000000
502	336	TOM1L2	0	18	14	7	1.000000
503	304	FGGY	0	18	14	6	0.903440
504	271	MPL	0	18	14	6	0.920766
505	299	MAP2	0	18	14	6	0.921858
506	129	BAI2	0	18	14	6	0.939773
507	104	ATP2B3	0	18	14	6	0.948840
508	196	PRICKLE2	0	18	14	6	0.954938
509	218	MBTPS1	0	18	14	6	0.955854
510	324	ABCG1	0	18	14	4	0.648797
511	205	C5	0	18	14	6	0.978642
512	128	CALR	0	18	14	6	0.985092
513	22	SIK1	0	18	14	4	0.658467
514	133	SF3B2	0	18	14	6	0.989256
515	337	MYO18B	0	18	14	6	1.000000
516	338	ANKRD30A	0	18	14	6	1.000000
517	339	ASTN1	0	18	14	6	1.000000
518	340	GRIN2B	0	18	14	6	1.000000
519	341	RUNX1T1	0	18	14	6	1.000000
520	342	NLRP5	0	18	14	6	1.000000
521	343	KDR	0	18	14	6	1.000000
522	344	CDH11	0	18	14	6	1.000000
523	345	CELSR3	0	18	14	6	1.000000
524	346	ATRNL1	0	18	14	6	1.000000
525	347	CDH4	0	18	14	6	1.000000
526	348	CNTN5	0	18	14	6	1.000000
527	349	RICTOR	0	18	14	6	1.000000
528	350	ATP11C	0	18	14	6	1.000000
529	351	ABCA1	0	18	14	6	1.000000
530	352	LRP4	0	18	14	6	1.000000
531	353	XIRP1	0	18	14	6	1.000000
532	354	CABIN1	0	18	14	6	1.000000
533	355	TRO	0	18	14	6	1.000000
534	356	ARFGEF2	0	18	14	6	1.000000
535	356	SEC63	0	18	15	4	0.479425
536	357	KCNQ2	0	18	15	6	1.000000
537	357	CHRNB4	0	18	15	6	0.740324
538	358	ARAP2	0	18	15	6	1.000000
539	359	RERE	0	18	15	6	1.000000
540	360	MTMR8	0	18	15	6	1.000000
541	361	CEP152	0	18	15	6	1.000000
542	362	KRTAP5-5	0	18	15	6	1.000000
543	363	CPXM2	0	18	15	6	1.000000
544	364	DIS3	0	18	15	6	1.000000
545	365	ZNF473	0	18	15	6	1.000000
546	365	SLBP	0	18	15	3	0.442902
547	366	ASUN	0	18	15	6	1.000000
548	367	MAGED1	0	18	15	6	1.000000
549	368	LNX1	0	18	15	6	1.000000
550	369	VCAM1	0	18	15	6	1.000000
551	370	DYRK4	0	18	15	6	1.000000
552	371	GBP4	0	18	15	6	1.000000
553	372	TRPM4	0	18	15	6	1.000000
554	373	OPRM1	0	18	15	6	1.000000
555	374	HPS4	0	18	15	6	1.000000
556	375	ATP1B1	0	18	15	6	1.000000
557	376	LRRC4	0	18	15	6	1.000000
558	377	TMCC1	0	18	15	6	1.000000
559	378	SLC24A4	0	18	15	6	1.000000
560	379	MDH1B	0	18	15	6	1.000000
561	380	OR4F6	0	18	15	6	1.000000
562	381	CCDC66	0	18	15	6	1.000000
563	382	CHAF1A	0	18	15	6	1.000000
564	383	SLC2A9	0	18	15	6	1.000000
565	384	RAD54L2	0	18	15	6	1.000000
566	385	STRN	0	18	15	6	1.000000
567	386	ADAM11	0	18	15	6	1.000000
568	387	STC2	0	18	15	6	1.000000
569	388	MSL3	0	18	15	6	1.000000
570	389	ZNF37A	0	18	15	6	1.000000
571	390	CMIP	0	18	15	6	1.000000
572	391	ABTB1	0	18	15	6	1.000000
573	392	PDCD6IP	0	18	15	6	1.000000
574	393	FAAH	0	18	15	6	1.000000
575	394	IKZF4	0	18	15	6	1.000000
576	395	PGAP2	0	18	15	6	1.000000
577	293	PSMA8	0	18	15	4	0.721423
578	359	KCNH5	0	18	15	3	0.550856
579	364	POLR1C	0	18	15	3	0.580011
580	396	SHQ1	0	18	15	5	1.000000
581	397	ZNF689	0	18	15	5	1.000000
582	326	UNC13C	0	18	15	3	0.628636
583	189	COL4A4	0	18	15	3	0.647387
584	36	NFATC2	0	18	15	3	0.663365
585	134	MYBL2	0	18	15	3	0.675216
586	7	CTF1	0	18	15	2	0.455133
587	133	SF3B3	0	18	15	4	0.912690
588	312	BCOR	0	18	15	3	0.702591
589	275	PHLDB1	0	18	15	4	0.937966
590	369	CTSG	0	18	15	3	0.703957
591	150	RPL32	0	18	15	3	0.710581
592	10	MDM2	0	18	15	4	0.955171
593	264	SECISBP2L	0	18	15	3	0.717818
594	382	CBX1	0	18	15	3	0.719476
595	343	FLT1	0	18	15	3	0.719714
596	86	LPAR6	0	18	15	3	0.719781
597	341	TCF3	0	18	15	4	0.967644
598	373	GNA15	0	18	15	3	0.730894
599	290	TLR7	0	18	15	3	0.741626
600	229	PPM1L	0	18	15	3	0.745533
601	398	PTPRD	0	18	15	4	1.000000
602	398	EPHA2	0	18	15	3	0.645789
603	399	ZNF521	0	18	15	4	1.000000
604	399	MINPP1	0	18	15	3	0.622025
605	400	WHSC1L1	0	18	15	4	1.000000
606	401	TRA2B	0	18	15	4	1.000000
607	401	RBMX	0	18	15	3	0.384006
608	402	SPTBN5	0	18	15	4	1.000000
609	403	ERC1	0	18	15	4	1.000000
610	404	CD109	0	18	15	4	1.000000
611	405	MICAL2	0	18	15	4	1.000000
